doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence
1;01.05.24 09:30;Did you know? Just 30 minutes of yoga can boost your energy levels and decrease stress. Try it today! #YogaBenefits;https://images.unsplash.com/photo-1567281105113-a9b2effdc9a8?q=80&w=3871&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;Image showing …;76;11;8;Yoga and Wellness;YogaWellness;Spreading love and light through yoga and holistic wellness practices.;https://images.unsplash.com/photo-1554244933-d876deb6b2ff?q=80&w=3880&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;8200;0;0;;descriptive;1
2;01.05.24 08:00;Morning office warriors! Start your day by swapping your chair for a stability ball. Great for posture and core strength! #OfficeFitness;https://images.unsplash.com/photo-1600695044624-65f0ea897e3b?q=80&w=3168&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;Image showing …;75;12;11;Office Wellness Guru;OfficeWellGuru;Your guide to staying healthy at your desk. Tips, tricks, and reminders for office wellness.;https://images.unsplash.com/photo-1489278353717-f64c6ee8a4d2?q=80&w=2976&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;4500;0;0;;descriptive;2
3;01.05.24 08:10;Breathing exercises can help reduce stress levels instantly. Try taking deep breaths for a few minutes today. #BreathWork;https://images.unsplash.com/photo-1590048531448-abc75e64f28d?q=80&w=3072&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;Image showing …;110;17;13;Office Wellness Guru;OfficeWellGuru;Your guide to staying healthy at your desk. Tips, tricks, and reminders for office wellness.;https://images.unsplash.com/photo-1489278353717-f64c6ee8a4d2?q=80&w=2976&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;4500;0;0;;descriptive;3
4;01.05.24 12:15;Embrace mindfulness like Emma Watson. Dedicate 10 mins daily to reflect quietly, boosting your mental clarity and focus. #Mindfulness;https://images.unsplash.com/photo-1532798442725-41036acc7489?q=80&w=3774&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;Image showing …;95;15;10;Celeb Wellness Tips;CelebWellnessTips;Bringing you the best wellness tips from your favorite celebrities.;https://images.unsplash.com/photo-1574438831819-751d670e7fda?q=80&w=3716&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;8000;0;0;;descriptive;4
5;01.05.24 13:14;Transform your daily rituals with our finest tea selections. Explore our whole leaf blends, available as loose tea or in biodegradable pyramids, and our versatile Chai Syrup for lattes, iced teas, and chai cocktails.;https://github.com/Howquez/oFeeds/blob/main/studies/LuffarelliEtAl_2019/stimuli/Ad_Explicit.png?raw=true;Image showing …;139;33;9;Nemi;nemi;"London-based tea company offering a variety of whole leaf tea blends as loose tea
and in biodegradable tea pyramids along with a Chai Syrup for chai lattes, iced teas and chai
cocktails.";https://github.com/Howquez/oFeeds/blob/main/studies/LuffarelliEtAl_2019/stimuli/Logo_Specific.png?raw=true;19382;0;1;;descriptive;5
6;01.05.24 15:45;Quick tip for a mini-workout at your desk: Try seated leg lifts or desk push-ups during your next break. Just 10 reps can boost circulation and energy! #DeskWorkout;https://images.unsplash.com/photo-1533766718622-93e5c96e438c?q=80&w=3814&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;Image showing …;101;23;19;Office Wellness Guru;OfficeWellGuru;Your guide to staying healthy at your desk. Tips, tricks, and reminders for office wellness.;https://images.unsplash.com/photo-1489278353717-f64c6ee8a4d2?q=80&w=2976&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;4500;0;0;;descriptive;6
7;01.05.24 08:15;Nothing beats the taste of a salad made from your own garden! Just harvested some fresh arugula and tomatoes. 🌱🍅 #GardenToTable;https://images.unsplash.com/photo-1601001815894-4bb6c81416d7?q=80&w=3870&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;Image showing …;73;11;9;Green Thumb Gourmet;GreenGourmet;Loves sharing tips on urban gardening and fresh, sustainable eating.;https://images.unsplash.com/photo-1541614101331-1a5a3a194e92?q=80&w=3542&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;3200;0;0;;descriptive;7
8;01.05.24 10:30;Did you know? Avocados are not only tasty but also packed with healthy fats and fiber. Add them to salads, sandwiches, or just enjoy plain! #HealthyFats;https://images.unsplash.com/photo-1612215047504-a6c07dbe4f7f?q=80&w=3870&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;Image showing …;95;17;15;Healthy Eats;HealthyEatsHome;Sharing simple and healthy meal ideas that don't skimp on flavor.;https://images.unsplash.com/photo-1620706857370-e1b9770e8bb1?q=80&w=3764&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;4900;0;0;;descriptive;8
9;01.05.24 14:30;Hugh Jackman's secret to staying energized? Cold showers every morning! Dare to try it? #Energize;https://images.unsplash.com/photo-1600717161879-3b294aea738e?q=80&w=1868&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;Image showing …;77;13;12;Celeb Wellness Tips;CelebWellnessTips;Bringing you the best wellness tips from your favorite celebrities.;https://images.unsplash.com/photo-1574438831819-751d670e7fda?q=80&w=3716&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;8000;0;0;;descriptive;9
10;01.05.24 13:15;Is back pain bothering you? Try placing a small pillow or a rolled-up towel behind your lower back for support while sitting. #BackHealth;https://images.unsplash.com/photo-1637580690960-02f4673ba4c5?q=80&w=3774&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;Image showing …;90;18;13;Office Wellness Guru;OfficeWellGuru;Your guide to staying healthy at your desk. Tips, tricks, and reminders for office wellness.;https://images.unsplash.com/photo-1489278353717-f64c6ee8a4d2?q=80&w=2976&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;4500;0;0;;descriptive;10
